Area,Society,OWC_Code,Subsistence,Year of observation,Location,Location(type),Age of learner,Age group of learner,Number of learner,Age of model,Age group of model,Number of model,Transmission modes,Transmission modes1,Social relationship,Transmission bias,Transmission bias1,Learning process,Learning process(type),Time spent,Perceived difficulty,Technology,Raw material,Function,Access to raw material,Genderedness,Confidence level of generedness judgement,Note,Reference
Southern Africa,Tonga,FQ12,Horticulturalists,1946-1948,NA,NA,boys after 5 or 6,middle childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,practice,Individual,NA,NA,trap making,Plant fiber,Utilitarian,NA,M,Low,"""Spend hours spinning threads""","Colson, 1949: 31-32"
Southern Africa,Zulu,FX20,Agro-pastoralists,Ca. 1956-1957,NA,NA,boys,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,imitation and experimenting,Observational,NA,NA,"making sledges, riems, yokes (agricultural tools)",Composite,Utilitarian,NA,M,Low,NA,"Vilakazi, 1962: 124-125"
Southern Africa,Zulu,FX20,Agro-pastoralists,Ca. 1956-1957,NA,NA,boys,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,taught,Interactive,a period of apprenticeship,NA,weapon making,NA,Utilitarian,NA,M,Low,"Relatives can also learn; ""not esoteric in nature""","Vilakazi, 1962: 124-125"
Southern Africa,Zulu,FX20,Agro-pastoralists,"1940, 1952-53, 1955-56, 1956-57",NA,NA,girls after ear-piercing ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,make-believe play,Interactive,NA,NA,beadwork,NA,NA,NA,F,High,NA,"Raum, 1973: 91"
Western Africa,Akan,FE12,Horticulturalists,1921-192?,NA,NA,NA,NA,NA,NA,Adulthood,1,Vertical,Vertical,father/sister's son-uncle,Kin-based,Kin-based,NA,NA,NA,NA,woodworking,Wood,Ritual,NA,M,High,"stools are believed to have their own name, gender, and social status; A woman might not carve a stool—
because of the ban against menstruation","Rattray, 1927: 271-272"
Western Africa,Akan,FE12,Horticulturalists,1921-192?,NA,NA,quite small children,NA,NA,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,NA,NA,NA,NA,pottery making,Clay,Utilitarian,NA,Both,High,anthropomorphic or zoomorphic forms are forbidden for women to make,"Rattray, 1927: 301-302"
Western Africa,Akan,FE12,Horticulturalists,1921-192?,NA,NA,little boys,NA,NA,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,play with miniature tools,Individual,NA,NA,weaving,Plant fiber,Utilitarian,NA,M,Low,hereditary occupation,"Rattray, 1927: 233"
Western Africa,Dogon,FA16,Intensive agriculturalist,1935,NA,NA,NA,NA,1,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,"observe, help with preparation",Observational,NA,NA,pottery making,Clay,Utilitarian,NA,F,Low,shoemaking is more specialized than pottery making,"Paulme and Schütze, 1940: 447"
Western Africa,Dogon,FA16,Intensive agriculturalist,1935,NA,NA,girls of 5 or 6,infancy and early childhood,1,NA,Adulthood,1,Vertical,Vertical,mother,Kin-based,Kin-based,"observe, help with preparation",Observational,NA,NA,shoe making ,NA,Utilitarian,NA,F,Low,shoemaking is more specialized than pottery making,"Paulme and Schütze, 1940: 447"
Western Africa,Dogon,FA16,Intensive agriculturalist,1935,NA,NA,child,NA,1,NA,Adulthood,1,Vertical,Vertical,father,Kin-based,Kin-based,"observe, help with preparation",Observational,NA,NA,blacksmith,Metal,Utilitarian,NA,M,Low,politeness is regarded more challenging compared with basket plaiting,"Paulme and Schütze, 1940: 447"
Western Africa,Fon,FA18,Horticulturalists,1931,workshop,indoor,3 or 4,infancy and early childhood,1,8 or 9,middle childhood,2,Horizontal,Horizontal,brothers,Kin-based,Kin-based,help with preparation,Interactive,NA,NA,blacksmith,Metal,Utilitarian,NA,M,Low,child begins to participate in Dahomean life at a very early age; children with special talents can choose crafts different from their father's,"Herskovits, 1967: 273-274"
Western Africa,Fulani,MS11,Pastoralists,1951-1953,pool and stream,outdoor field,4/5-9/10,infancy and early childhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,play,Individual,NA,NA,pottery figurine making,Clay,toy,NA,Both,High,No gender restrictions but gendered expressions exist. ,"Stenning, 1964: 155-156"
Western Africa,Fulani,MS11,Pastoralists,1951-1953,Homestead,indoor,4/5-9/10,infancy and early childhood,NA,NA,NA,NA,Vertical/Oblique,Vertical/Oblique,elders,Kin-based,Kin-based,imitation,Observational,NA,NA,rope making,Plant fiber,Utilitarian,NA,Both,Low,NA,"Stenning, 1964: 155-156"
Western Africa,Igbo,FF26,Horticulturalists,1951-1960,bush,outdoor field,Enna (small boy before initiation),middle childhood,>1,NA,Adulthood and adolescence,NA,Horizontal/Oblique,Horizontal/Oblique,"men or older boys in the village, Older brothers",Kin-based/Familiarity-based,Mixed,"imitation, play, teach",Interactive,NA,NA,mask carving,Wood,Ritual,NA,M,High,mutli-staged learning; secret sociey composed of small boys; criticisms and rewards of age-mates are important motivations,"Ottenberg, 1975: 67-69; Ottenberg, 1989: 121-122"
Western Africa,Igbo,FF26,Horticulturalists,1951-1960,NA,NA,Enna (boy of 11),middle childhood,NA,NA,NA,1,Horizontal,Horizontal,Older-younger brothers,Kin-based,Kin-based,"play, teach",Interactive,NA,NA,musical instrument making,Wood or calabash,NA,NA,M,Low,criticisms and rewards of age-mates are important motivations,"Ottenberg, 1975: 67-69; Ottenberg, 1989: 121-122"
